run_id,source_dir,source_run_id,hidden_dim,learning_rate,lr_decay,weight_decay,best_epoch,best_val_accuracy,final_train_accuracy,final_val_accuracy,elapsed_seconds
87,grid_outputs_numpy16_30,15,512,0.005,0.97,0.0,30,0.5528395061728395,0.5824338624338624,0.5528395061728395,10.138186693191528
88,grid_outputs_numpy16_30,16,512,0.005,0.97,0.0001,28,0.5520987654320988,0.5851322751322752,0.5511111111111111,10.134889364242554
89,grid_outputs_numpy16_30,17,512,0.01,0.95,0.0,30,0.5735802469135802,0.6132804232804233,0.5735802469135802,10.137092351913452
90,grid_outputs_numpy16_30,18,512,0.01,0.95,0.0001,28,0.5720987654320988,0.6131746031746032,0.571604938271605,10.233829498291016
91,grid_outputs_numpy16_30,19,512,0.01,0.97,0.0,30,0.5844444444444444,0.6296296296296297,0.5844444444444444,10.352299451828003
92,grid_outputs_numpy16_30,20,512,0.01,0.97,0.0001,30,0.5891358024691358,0.6315873015873016,0.5891358024691358,10.938536167144775
93,grid_outputs_numpy16_30,21,512,0.02,0.95,0.0,30,0.6103703703703703,0.6634920634920635,0.6103703703703703,10.99901819229126
94,grid_outputs_numpy16_30,22,512,0.02,0.95,0.0001,29,0.6091358024691358,0.6642328042328043,0.6081481481481481,10.124186515808105
95,grid_outputs_numpy16_30,23,512,0.02,0.97,0.0,28,0.6195061728395062,0.6762962962962963,0.6172839506172839,10.853008508682251
96,grid_outputs_numpy16_30,24,512,0.02,0.97,0.0001,30,0.6227160493827161,0.6832804232804233,0.6227160493827161,10.618549823760986
97,grid_outputs_numpy16_highlr_30,73,512,0.04,0.9,0.0,29,0.6182716049382716,0.6822751322751323,0.6172839506172839,10.232670545578003
98,grid_outputs_numpy16_highlr_30,74,512,0.04,0.9,0.0001,30,0.617037037037037,0.6817460317460318,0.617037037037037,10.291168451309204
99,grid_outputs_numpy16_highlr_30,75,512,0.04,0.9,0.0005,30,0.6192592592592593,0.6793650793650794,0.6192592592592593,10.40238332748413
100,grid_outputs_numpy16_highlr_30,76,512,0.04,0.94,0.0,28,0.6387654320987655,0.7104761904761905,0.6358024691358025,10.421667575836182
101,grid_outputs_numpy16_highlr_30,77,512,0.04,0.94,0.0001,30,0.6387654320987655,0.7101587301587302,0.6387654320987655,10.192739963531494
102,grid_outputs_numpy16_highlr_30,78,512,0.04,0.94,0.0005,28,0.6370370370370371,0.7073544973544974,0.6340740740740741,10.227245330810547
103,grid_outputs_numpy16_highlr_30,79,512,0.04,0.97,0.0,29,0.6479012345679013,0.7361375661375661,0.6461728395061729,10.524189949035645
104,grid_outputs_numpy16_highlr_30,80,512,0.04,0.97,0.0001,30,0.6508641975308642,0.7361904761904762,0.6508641975308642,10.295468807220459
105,grid_outputs_numpy16_highlr_30,81,512,0.04,0.97,0.0005,28,0.6511111111111111,0.7327513227513227,0.6508641975308642,10.235059976577759
106,grid_outputs_numpy16_highlr_30,82,512,0.08,0.9,0.0,29,0.6523456790123456,0.7335449735449735,0.6501234567901235,10.17940640449524
107,grid_outputs_numpy16_highlr_30,83,512,0.08,0.9,0.0001,25,0.654320987654321,0.7328571428571429,0.6501234567901235,10.083858966827393
108,grid_outputs_numpy16_highlr_30,84,512,0.08,0.9,0.0005,29,0.6506172839506172,0.7312169312169312,0.6493827160493827,11.570626497268677
109,grid_outputs_numpy16_highlr_30,85,512,0.08,0.94,0.0,29,0.6696296296296296,0.7626455026455027,0.6641975308641975,12.464964628219604
110,grid_outputs_numpy16_highlr_30,86,512,0.08,0.94,0.0001,29,0.6703703703703704,0.7653439153439153,0.6666666666666666,11.849177122116089
111,grid_outputs_numpy16_highlr_30,87,512,0.08,0.94,0.0005,28,0.6637037037037037,0.7576190476190476,0.6617283950617284,10.990132093429565
112,grid_outputs_numpy16_highlr_30,88,512,0.08,0.97,0.0,26,0.6711111111111111,0.790952380952381,0.6711111111111111,11.972689867019653
113,grid_outputs_numpy16_highlr_30,89,512,0.08,0.97,0.0001,30,0.6748148148148149,0.7944444444444444,0.6748148148148149,12.656689882278442
114,grid_outputs_numpy16_highlr_30,90,512,0.08,0.97,0.0005,27,0.6720987654320988,0.7895238095238095,0.6644444444444444,13.408939123153687
115,grid_outputs_numpy16_highlr_30,91,512,0.12,0.9,0.0,30,0.6661728395061728,0.7585714285714286,0.6661728395061728,10.492826700210571
116,grid_outputs_numpy16_highlr_30,92,512,0.12,0.9,0.0001,29,0.6641975308641975,0.7580423280423281,0.6637037037037037,10.296980857849121
117,grid_outputs_numpy16_highlr_30,93,512,0.12,0.9,0.0005,27,0.6632098765432098,0.7551322751322751,0.6590123456790123,10.203109502792358
118,grid_outputs_numpy16_highlr_30,94,512,0.12,0.94,0.0,25,0.6723456790123457,0.7882539682539682,0.6661728395061728,10.080181121826172
119,grid_outputs_numpy16_highlr_30,95,512,0.12,0.94,0.0001,30,0.6730864197530865,0.7933333333333333,0.6730864197530865,10.145155191421509
120,grid_outputs_numpy16_highlr_30,96,512,0.12,0.94,0.0005,29,0.6760493827160494,0.7905291005291005,0.671604938271605,10.968873739242554
121,grid_outputs_numpy16_highlr_30,97,512,0.12,0.97,0.0,30,0.677283950617284,0.8185714285714286,0.677283950617284,10.881717681884766
122,grid_outputs_numpy16_highlr_30,98,512,0.12,0.97,0.0001,30,0.6725925925925926,0.8074074074074075,0.6725925925925926,9.963822603225708
123,grid_outputs_numpy16_highlr_30,99,512,0.12,0.97,0.0005,25,0.6795061728395062,0.8064021164021165,0.6713580246913581,13.121626853942871
124,grid_outputs_numpy16_highlr_30,100,512,0.16,0.9,0.0,30,0.6795061728395062,0.7753968253968254,0.6795061728395062,12.903923749923706
125,grid_outputs_numpy16_highlr_30,101,512,0.16,0.9,0.0001,28,0.6725925925925926,0.7771428571428571,0.6711111111111111,10.923774719238281
126,grid_outputs_numpy16_highlr_30,102,512,0.16,0.9,0.0005,30,0.6859259259259259,0.7764550264550265,0.6859259259259259,9.691860914230347
127,grid_outputs_numpy16_highlr_30,103,512,0.16,0.94,0.0,26,0.6753086419753086,0.8104232804232804,0.6723456790123457,9.529883623123169
128,grid_outputs_numpy16_highlr_30,104,512,0.16,0.94,0.0001,29,0.6812345679012346,0.8071428571428572,0.68,9.611509323120117
129,grid_outputs_numpy16_highlr_30,105,512,0.16,0.94,0.0005,29,0.6802469135802469,0.8071428571428572,0.6701234567901234,9.583001852035522
130,grid_outputs_numpy16_highlr_30,106,512,0.16,0.97,0.0,29,0.6812345679012346,0.8270899470899471,0.6782716049382717,9.52232551574707
131,grid_outputs_numpy16_highlr_30,107,512,0.16,0.97,0.0001,28,0.6708641975308642,0.8052380952380952,0.6609876543209876,9.549566268920898
132,grid_outputs_numpy16_highlr_30,108,512,0.16,0.97,0.0005,29,0.6824691358024692,0.7917989417989418,0.6562962962962963,9.793201923370361
